,station_name,station_latitude,station_longitude,fsq_id,poi_name,poi_id,poi_category,poi_distance
3898,Nelson & Denman,49.2890705989865,-123.138407369468,62f9d644dab7042bf6828bdb,Winter Bear,13040,Dessert Shop,175
3899,Nelson & Denman,49.2890705989865,-123.138407369468,5d8d70cb9103f600080aa56b,Big Bang Sushi,13276,Sushi Restaurant,178
3900,Nelson & Denman,49.2890705989865,-123.138407369468,5c0c92c612c8f0002cbacd29,Hui Lau Shan,13040,Dessert Shop,179
3901,Nelson & Denman,49.2890705989865,-123.138407369468,5e5b1a0db4f5730008fea2e6,Café Portrait,13000,Dining and Drinking,182
3902,Nelson & Denman,49.2890705989865,-123.138407369468,4abad180f964a520108320e3,Babylon Cafe,13144,Falafel Restaurant,246
3903,Nelson & Denman,49.2890705989865,-123.138407369468,54d57947498e2290e6924560,Che-licious,13379,Vietnamese Restaurant,192
3904,Nelson & Denman,49.2890705989865,-123.138407369468,5b9f0fba9e0d540039810639,The Sauce Pasta Cafe,13236,Italian Restaurant,209
3905,Nelson & Denman,49.2890705989865,-123.138407369468,4b785552f964a52032c62ee3,Tango's Gourmet Meats Ltd,17059,Butcher,210
3906,Melville & Bute,49.287782,-123.12395,4aa97e36f964a520ee5320e3,Starbucks,13035,Coffee Shop,25
3907,Melville & Bute,49.287782,-123.12395,4dbb17935da3ff58ec28adc9,Tableau Bar Bistro,13027,Bistro,42
3908,Melville & Bute,49.287782,-123.12395,4aafd980f964a520e86420e3,Green Leaf Salad Bar,13298,Lebanese Restaurant,31
3909,Melville & Bute,49.287782,-123.12395,582655cc2db9f34c9dba2e7a,A&W Restaurant,13068,American Restaurant,48
3910,Melville & Bute,49.287782,-123.12395,4aa81513f964a5202e4f20e3,Sushi Go,13276,Sushi Restaurant,24
3911,Melville & Bute,49.287782,-123.12395,4bb0fab3f964a520c76f3ce3,Melville Market,17069,Grocery Store / Supermarket,22
3912,Melville & Bute,49.287782,-123.12395,5929eeabc21cb17f3424a0bf,Yui Japanese Bistro,13263,Japanese Restaurant,104
3913,Melville & Bute,49.287782,-123.12395,4aa7e4ebf964a520e84d20e3,Waves Coffee House,13035,Coffee Shop,70
3914,Melville & Bute,49.287782,-123.12395,4fd115cae4b066efff5b5e97,Freshii,13145,Fast Food Restaurant,121
3915,Melville & Bute,49.287782,-123.12395,4c23a8f3f1272d7f67c981c5,Time Out Cafe,13034,Café,83
3916,Melville & Bute,49.287782,-123.12395,4d8660c061676dcb22d59ee4,Panago Pizza Inc,13064,Pizzeria,89
3917,Melville & Bute,49.287782,-123.12395,56e86256498edaa0b3b76c21,BroadbandTV BBTV,12082,Organization,93
3918,Melville & Bute,49.287782,-123.12395,4eefc782d5fbe9f4b1f525f5,Sciue Italian Bakery Caffe,13002,Bakery,155
3919,Melville & Bute,49.287782,-123.12395,61a1b72396e4234908bd2dbc,Mott 32,13099,Chinese Restaurant,108
3920,Melville & Bute,49.287782,-123.12395,5c5b27d3a35dce002c4cff4f,Bonus Bakery,13002,Bakery,109
3921,Melville & Bute,49.287782,-123.12395,4b50afe3f964a520822d27e3,Prestons,13068,American Restaurant,134
3922,Melville & Bute,49.287782,-123.12395,6291cc2ec27d1c5140bc6ab5,Karma Lounge,13016,Lounge,116
3923,Melville & Bute,49.287782,-123.12395,4c2e95f9213c2d7f0c862f5d,JJ Bean Coffee Roasters,13034,Café,195
3924,Melville & Bute,49.287782,-123.12395,5af12891a5a315002c9b99c0,Jos,13236,Italian Restaurant,205
3925,Melville & Bute,49.287782,-123.12395,59b17359cf72a06947102770,49th Parallel Café & Lucky's Doughnuts - THURLOW,13032,"Cafes, Coffee, and Tea Houses",222
3926,Melville & Bute,49.287782,-123.12395,543ffaa5498e1016918872cf,Keg Steakhouse & Bar - Thurlow Keg,13383,Steakhouse,205
3927,Melville & Bute,49.287782,-123.12395,5c76f98ef62e09002c2736d7,Indian Delicacy,13199,Indian Restaurant,130
3928,Melville & Bute,49.287782,-123.12395,4ac56bedf964a520fab120e3,Kirin Mandarin Restaurant,13099,Chinese Restaurant,192
3929,Melville & Bute,49.287782,-123.12395,5977bfd0f2905e16c7c7a95c,Tim Hortons,13032,"Cafes, Coffee, and Tea Houses",177
3930,Melville & Bute,49.287782,-123.12395,4c88f79f97828cfad822a0aa,A&W Restaurant,13068,American Restaurant,212
3931,Melville & Bute,49.287782,-123.12395,522e0f580493f213a08aacaa,Starbucks,13035,Coffee Shop,201
3932,Melville & Bute,49.287782,-123.12395,4ab0fd64f964a520b86720e3,Mangez Mangez,13034,Café,202
